order_id,order_date,region,city,customer_lat,customer_lon,depot_id,depot_lat,depot_lon,vehicle_id_planned,priority,package_weight_kg,service_time_min,time_window_start,time_window_end,distance_km_est,traffic_factor,travel_time_min_est,delivery_duration_min_est,delivered_late,fuel_cost_est,co2_kg_est,status
ORD00011,2024-02-24,West,Kano,12.056648953859332,8.531643136306835,DEP4,11.80440884684944,8.718084571381935,VEH42,Medium,35.49,9,10:00:00,12:00:00,73.44,1.34,147.6,156.6,True,44.06,18.36,Delivered
ORD00012,2024-05-17,East,Ibadan,7.2923089303468185,3.9186931457088545,DEP5,7.223847623810053,4.092241370350237,VEH28,High,31.35,17,11:00:00,13:00:00,34.43,0.84,43.4,60.4,False,20.66,8.61,Pending
ORD00013,2024-05-06,North,Ibadan,7.339696464343133,3.9120366644053495,DEP1,7.469342471335226,4.002022988542086,VEH8,Low,44.42,25,08:00:00,10:00:00,48.28,0.88,63.7,88.7,False,28.97,12.07,In Transit
ORD00014,2024-01-17,West,Ibadan,7.420148957444599,3.9991570097233797,DEP4,7.402010879027799,4.055386871981824,VEH39,Medium,24.94,21,10:00:00,12:00:00,53.23,1.1,87.8,108.8,False,31.94,13.31,Pending
ORD00015,2024-06-23,East,Lagos,6.429483825348819,3.300778285398661,DEP3,6.336971674274694,3.4337641645055124,VEH8,Medium,16.06,18,08:00:00,10:00:00,51.84,1.44,112.0,130.0,False,31.1,12.96,Delivered
ORD00016,2024-05-08,South,Kano,11.952058445829776,8.573976584607127,DEP5,12.10442045541722,8.48341926619665,VEH7,High,4.31,14,16:00:00,18:00:00,30.4,0.91,41.5,55.5,False,18.24,7.6,Pending
ORD00017,2024-04-05,South,Abuja,9.162439530468514,7.460224075912883,DEP5,9.129861502604168,7.547184236075087,VEH50,High,40.28,5,15:00:00,17:00:00,20.28,1.42,43.2,48.2,False,12.17,5.07,Pending
ORD00018,2024-04-02,East,Lagos,6.53226844838313,3.4406880310328125,DEP2,6.682836519969397,3.3064013899887454,VEH4,Low,5.95,23,07:00:00,09:00:00,24.34,1.1,40.2,63.2,True,14.6,6.08,In Transit
ORD00019,2024-07-13,South,Lagos,6.588002953184499,3.4513461166512687,DEP2,6.327180852212476,3.3834989210310265,VEH43,Medium,21.16,22,08:00:00,10:00:00,23.77,0.88,31.4,53.4,False,14.26,5.94,Delivered
ORD00020,2024-02-24,South,Port Harcourt,4.783123034280726,7.138381940782504,DEP3,4.744881172808302,7.057316248697346,VEH26,High,35.3,25,11:00:00,13:00:00,37.64,1.48,83.6,108.6,False,22.58,9.41,Delivered
ORD00021,2024-01-31,South,Port Harcourt,4.908089458988422,7.000156459165073,DEP2,4.8144994023569545,6.970151323926708,VEH5,Medium,14.6,5,15:00:00,17:00:00,5.61,1.23,10.4,15.4,False,3.37,1.4,Delivered
ORD00022,2024-01-02,North,Abuja,9.07703580464577,7.308895750249998,DEP1,8.987958585694644,7.561906354386662,VEH15,Low,12.36,6,11:00:00,13:00:00,16.2,1.14,27.7,33.7,True,9.72,4.05,Pending
ORD00023,2024-06-20,West,Kano,12.09933009082212,8.5403110543023,DEP2,12.071054218962352,8.696547846131487,VEH35,Low,12.26,28,15:00:00,17:00:00,73.37,1.06,116.7,144.7,False,44.02,18.34,Pending
ORD00024,2024-04-14,South,Port Harcourt,4.842061166118715,7.076505942152179,DEP1,4.829909873629903,6.885915908021763,VEH7,High,41.85,18,11:00:00,13:00:00,33.44,0.93,46.6,64.6,False,20.06,8.36,In Transit
ORD00025,2024-06-21,North,Lagos,6.4325550283109525,3.397378588637648,DEP1,6.595425744736913,3.1858351315711424,VEH26,High,25.85,15,18:00:00,20:00:00,24.2,1.25,45.4,60.4,False,14.52,6.05,Pending
ORD00026,2024-02-18,West,Abuja,9.011373285800998,7.436787547620494,DEP2,9.031194138520215,7.573291995494694,VEH28,Low,7.31,13,13:00:00,15:00:00,35.42,0.88,46.8,59.8,False,21.25,8.86,Pending
ORD00027,2024-05-20,North,Port Harcourt,4.900538723655712,7.125267870676197,DEP1,4.7187766510860625,7.113793618413672,VEH42,High,40.95,5,07:00:00,09:00:00,56.41,1.17,99.0,104.0,False,33.85,14.1,Pending
ORD00028,2024-04-14,West,Abuja,9.02487045818009,7.31722055356118,DEP4,9.23538630318133,7.558767222865332,VEH14,Medium,31.84,6,08:00:00,10:00:00,35.22,1.04,54.9,60.9,False,21.13,8.8,In Transit
ORD00029,2024-07-19,West,Kano,12.047391135774047,8.671322051990517,DEP3,12.157034569706047,8.70385021834305,VEH28,High,32.28,28,18:00:00,20:00:00,10.25,0.91,14.0,42.0,False,6.15,2.56,Delivered
ORD00030,2024-02-09,South,Port Harcourt,4.8953108377054155,7.071085811931918,DEP3,4.6192788206466515,6.890388617146413,VEH14,Low,33.34,23,17:00:00,19:00:00,2.5,0.91,3.4,26.4,False,1.5,0.62,Delivered
ORD00031,2024-01-15,North,Kano,12.011946757873318,8.63027903953854,DEP5,12.06298450380104,8.481607723784224,VEH31,High,35.75,21,08:00:00,10:00:00,25.25,1.03,39.0,60.0,True,15.15,6.31,Delivered
ORD00032,2024-02-17,North,Lagos,6.573698281023605,3.409126579809443,DEP5,6.664089364197671,3.442245156920137,VEH5,High,28.63,12,12:00:00,14:00:00,11.18,1.06,17.8,29.8,True,6.71,2.79,Delivered
ORD00033,2024-05-28,North,Abuja,9.029540473536345,7.347397928675817,DEP5,9.265704221900977,7.355839089866704,VEH6,Medium,44.66,26,15:00:00,17:00:00,63.85,1.36,130.3,156.3,False,38.31,15.96,In Transit
ORD00034,2024-02-22,East,Kano,12.002727418621038,8.607280776925272,DEP2,11.999207077527545,8.469997195119218,VEH17,Medium,36.26,9,16:00:00,18:00:00,29.52,0.82,36.3,45.3,False,17.71,7.38,In Transit
ORD00035,2024-07-11,North,Kano,12.031294459181433,8.52732213588141,DEP1,12.178383433741166,8.773471430801036,VEH30,High,45.79,23,07:00:00,09:00:00,38.28,0.81,46.5,69.5,True,22.97,9.57,Pending
ORD00036,2024-03-08,South,Ibadan,7.463163712517545,3.932636829663463,DEP3,7.5641619276174685,4.1324479908357015,VEH5,Low,42.72,16,10:00:00,12:00:00,30.86,1.07,49.5,65.5,False,18.52,7.71,Delivered
ORD00037,2024-06-05,North,Kano,12.072427334303372,8.555284401031257,DEP5,11.869997098674437,8.61462050498334,VEH20,High,46.84,8,08:00:00,10:00:00,70.21,1.2,126.4,134.4,False,42.13,17.55,Pending
ORD00038,2024-02-09,East,Ibadan,7.296935298754154,3.9700014453398342,DEP3,7.573521540041706,3.8030336060946097,VEH39,Low,26.16,27,11:00:00,13:00:00,87.98,1.32,174.2,201.2,False,52.79,22.0,Delivered
ORD00039,2024-05-09,West,Kano,12.041603148199053,8.632396816797423,DEP3,11.945996460487903,8.509336737705798,VEH4,Low,40.56,25,12:00:00,14:00:00,81.39,1.41,172.1,197.1,False,48.83,20.35,Pending
ORD00040,2024-03-26,South,Lagos,6.607048110511294,3.3814684797721877,DEP3,6.52500651787488,3.49851807158671,VEH11,High,32.67,19,14:00:00,16:00:00,70.79,1.36,144.4,163.4,False,42.47,17.7,Delivered
ORD00041,2024-01-29,North,Lagos,6.6024010683635135,3.346799031370307,DEP2,6.474633181055977,3.2167927759363475,VEH35,Low,29.12,16,15:00:00,17:00:00,5.52,1.13,9.4,25.4,False,3.31,1.38,In Transit
ORD00042,2024-01-11,East,Abuja,9.085028926941515,7.3559082504256565,DEP3,9.112833304227603,7.21080009997562,VEH3,Medium,2.35,11,16:00:00,18:00:00,82.61,1.05,130.1,141.1,False,49.57,20.65,Pending
ORD00043,2024-07-18,West,Kano,11.927612102530377,8.596348652010962,DEP5,12.110197421239445,8.478228410998739,VEH48,Low,31.33,12,08:00:00,10:00:00,10.36,0.84,13.1,25.1,False,6.22,2.59,Pending
ORD00044,2024-01-07,South,Port Harcourt,4.82187092631363,7.057927024322022,DEP3,4.870571960599283,7.140236533489065,VEH27,High,48.8,28,18:00:00,20:00:00,52.6,1.03,81.3,109.3,False,31.56,13.15,Pending
ORD00045,2024-04-07,North,Lagos,6.58343723895374,3.3333664502524147,DEP4,6.499988568282254,3.2105825525369065,VEH15,Low,1.75,19,11:00:00,13:00:00,96.34,1.39,200.9,219.9,False,57.8,24.09,Pending
ORD00046,2024-01-07,South,Abuja,9.115694841218739,7.380390588882854,DEP4,8.945817728028338,7.261174817068435,VEH22,Medium,12.89,7,18:00:00,20:00:00,55.82,1.3,108.8,115.8,False,33.49,13.96,Delivered
ORD00047,2024-04-12,East,Ibadan,7.409539475343546,3.9029867793891886,DEP1,7.559446112265278,4.042158766678307,VEH8,Medium,27.94,10,15:00:00,17:00:00,61.95,1.09,101.3,111.3,False,37.17,15.49,In Transit
ORD00048,2024-01-28,West,Lagos,6.473946197900231,3.3503945357302523,DEP3,6.627538444185747,3.184957395451902,VEH47,Medium,6.25,18,15:00:00,17:00:00,6.51,0.83,8.1,26.1,False,3.91,1.63,Pending
ORD00049,2024-05-27,South,Port Harcourt,4.886692116802202,7.090531571876005,DEP3,4.80526953163493,6.888933664260401,VEH3,High,24.83,18,06:00:00,08:00:00,48.4,0.92,66.8,84.8,False,29.04,12.1,Delivered
ORD00050,2024-04-03,West,Abuja,9.063270329847594,7.378300946879475,DEP1,9.122840039220886,7.4526374603470575,VEH43,Medium,2.74,24,11:00:00,13:00:00,38.71,1.24,72.0,96.0,False,23.23,9.68,Pending
ORD00051,2024-05-09,East,Kano,12.002827251716019,8.663197968237665,DEP4,12.065677452647579,8.457073770832572,VEH21,Medium,3.99,27,10:00:00,12:00:00,64.96,0.82,79.9,106.9,False,38.98,16.24,Pending
ORD00052,2024-06-19,West,Port Harcourt,4.832755116254693,7.137846048284992,DEP2,4.845789671150351,7.005067970482609,VEH40,High,32.34,14,12:00:00,14:00:00,46.91,1.18,83.0,97.0,False,28.15,11.73,Pending
ORD00053,2024-03-14,South,Kano,12.090492961755306,8.569120527560155,DEP4,12.186676225529565,8.754040256782426,VEH38,High,10.19,25,11:00:00,13:00:00,8.8,0.87,11.5,36.5,False,5.28,2.2,In Transit
ORD00054,2024-05-10,West,Abuja,8.98014436513031,7.317488592151186,DEP2,9.149702709366542,7.227075459384092,VEH43,Low,16.29,14,14:00:00,16:00:00,84.8,0.82,104.3,118.3,False,50.88,21.2,Delivered
ORD00055,2024-01-24,South,Kano,12.065093696517787,8.548270954954681,DEP3,11.849465931048663,8.670594866145661,VEH15,Low,31.63,9,06:00:00,08:00:00,87.99,1.31,172.9,181.9,True,52.79,22.0,In Transit
ORD00056,2024-07-15,North,Ibadan,7.43819618607697,3.903406914514261,DEP4,7.248475817511889,4.0472459006563435,VEH27,High,40.44,23,09:00:00,11:00:00,99.07,1.09,162.0,185.0,False,59.44,24.77,In Transit
ORD00057,2024-04-12,South,Port Harcourt,4.790003617158557,7.1050825921484,DEP2,4.751921416101207,7.222102930241427,VEH42,High,42.99,5,18:00:00,20:00:00,44.04,1.33,87.9,92.9,False,26.42,11.01,Pending
ORD00058,2024-02-26,South,Port Harcourt,4.866508574816937,6.970424773767187,DEP5,4.976621162671827,7.051900948979143,VEH30,Low,41.41,22,09:00:00,11:00:00,33.36,1.43,71.6,93.6,False,20.02,8.34,Pending
ORD00059,2024-02-04,West,Port Harcourt,4.7934403357468325,6.95196753029606,DEP5,4.977752790567705,6.886314670714453,VEH36,High,16.31,15,18:00:00,20:00:00,95.11,1.47,209.7,224.7,False,57.07,23.78,Delivered
ORD00060,2024-04-19,West,Ibadan,7.392187577624657,3.97336744243396,DEP2,7.356878208791328,3.864284308679226,VEH48,Medium,16.77,19,10:00:00,12:00:00,67.91,1.33,135.5,154.5,False,40.75,16.98,Delivered
ORD00061,2024-07-15,West,Kano,12.06051580874517,8.649823628558911,DEP2,11.838682441219476,8.589668121881033,VEH18,Medium,3.35,7,17:00:00,19:00:00,55.85,1.11,93.0,100.0,False,33.51,13.96,In Transit
ORD00062,2024-03-22,North,Kano,12.079740836551661,8.562083002510416,DEP2,11.849026806571043,8.449096672821135,VEH10,Low,38.19,17,17:00:00,19:00:00,62.59,0.87,81.7,98.7,False,37.55,15.65,Pending
ORD00063,2024-04-16,West,Lagos,6.441221361223,3.4193938262918238,DEP3,6.353505202545677,3.5079440237161426,VEH35,Medium,35.46,18,06:00:00,08:00:00,9.97,0.86,12.9,30.9,False,5.98,2.49,In Transit
ORD00064,2024-07-16,North,Port Harcourt,4.912927915700235,7.024654159151225,DEP5,4.763856858826756,7.174919826903001,VEH25,Medium,47.39,5,11:00:00,13:00:00,98.63,1.33,196.8,201.8,False,59.18,24.66,In Transit
ORD00065,2024-05-17,South,Port Harcourt,4.790851917106183,6.966500143339734,DEP4,4.926458766370975,7.073161699894323,VEH15,Medium,21.5,18,13:00:00,15:00:00,90.82,0.88,119.9,137.9,True,54.49,22.7,In Transit
ORD00066,2024-07-04,South,Port Harcourt,4.814125020858172,6.952070728953484,DEP4,4.803064256797651,6.872321310272735,VEH9,High,6.38,22,06:00:00,08:00:00,13.52,1.25,25.3,47.3,False,8.11,3.38,Delivered
ORD00067,2024-06-18,North,Ibadan,7.426708975853085,3.963673753019432,DEP1,7.562369019389817,3.896948231809482,VEH42,Medium,14.64,9,13:00:00,15:00:00,87.12,0.96,125.5,134.5,False,52.27,21.78,In Transit
ORD00068,2024-03-24,South,Port Harcourt,4.9082445078881225,6.952230894937964,DEP4,5.003551530683056,6.867063964780231,VEH21,Medium,44.61,29,12:00:00,14:00:00,53.71,1.5,120.8,149.8,False,32.23,13.43,In Transit
ORD00069,2024-01-21,West,Kano,11.91695931294708,8.602670856880264,DEP1,12.18992101424764,8.60113913766806,VEH48,High,31.66,6,11:00:00,13:00:00,70.18,1.12,117.9,123.9,False,42.11,17.55,Pending
ORD00070,2024-07-12,North,Lagos,6.5499116160168125,3.39606286238462,DEP2,6.684863204196396,3.197378552136583,VEH13,Low,14.41,24,08:00:00,10:00:00,95.14,1.42,202.6,226.6,False,57.08,23.79,In Transit
ORD00071,2024-05-24,South,Lagos,6.515531350557143,3.4032265195603073,DEP4,6.435352473192453,3.2544484638895046,VEH45,Medium,23.45,29,11:00:00,13:00:00,36.63,1.21,66.5,95.5,False,21.98,9.16,Delivered
ORD00072,2024-07-18,South,Lagos,6.439946927392997,3.4740789615332335,DEP3,6.718884297791841,3.458464685607898,VEH7,High,27.04,5,10:00:00,12:00:00,32.33,1.37,66.4,71.4,False,19.4,8.08,In Transit
ORD00073,2024-07-02,South,Port Harcourt,4.8525462345107755,6.982323387868979,DEP1,4.979970873797537,7.178814897169268,VEH38,High,47.52,25,09:00:00,11:00:00,73.12,1.23,134.9,159.9,True,43.87,18.28,In Transit
ORD00074,2024-01-31,North,Ibadan,7.361148607258124,4.033545696670803,DEP3,7.523925555800163,3.7650874680424757,VEH35,Medium,1.81,26,11:00:00,13:00:00,38.89,1.37,79.9,105.9,True,23.33,9.72,Delivered
ORD00075,2024-01-04,West,Kano,12.099655225862989,8.521983378220707,DEP4,12.039852286140855,8.544256342652409,VEH7,Medium,48.51,16,16:00:00,18:00:00,84.53,1.39,176.2,192.2,False,50.72,21.13,In Transit
ORD00076,2024-04-21,South,Abuja,9.070238631958993,7.381563900467533,DEP5,8.985862828772282,7.221150198660371,VEH42,Medium,43.3,24,18:00:00,20:00:00,81.66,1.5,183.7,207.7,False,49.0,20.41,In Transit
ORD00077,2024-04-21,East,Port Harcourt,4.914927367414781,7.060886341120526,DEP3,4.923194966072204,7.2277062919529715,VEH16,Low,42.56,13,13:00:00,15:00:00,26.24,1.12,44.1,57.1,False,15.74,6.56,In Transit
ORD00078,2024-06-05,West,Ibadan,7.3033318830303,4.037810205451745,DEP3,7.419969853780352,3.838457122201385,VEH2,Medium,33.75,15,08:00:00,10:00:00,62.58,1.05,98.6,113.6,False,37.55,15.64,In Transit
ORD00079,2024-03-28,East,Kano,11.924911518439925,8.62621463911856,DEP5,12.010323080361518,8.700827356694257,VEH45,Medium,26.25,22,06:00:00,08:00:00,85.51,1.19,152.6,174.6,False,51.31,21.38,Pending
ORD00080,2024-03-02,West,Lagos,6.536587594307077,3.454530720531669,DEP4,6.4857931464849585,3.2328060913802563,VEH36,Low,1.92,27,13:00:00,15:00:00,76.0,1.23,140.2,167.2,False,45.6,19.0,In Transit
ORD00081,2024-01-05,North,Port Harcourt,4.856415953619845,6.992392832301783,DEP3,4.6701485902347075,6.855617866267153,VEH15,Medium,17.85,27,09:00:00,11:00:00,59.81,1.07,96.0,123.0,False,35.89,14.95,Delivered
ORD00082,2024-05-01,East,Kano,11.989694984404746,8.67273173889875,DEP4,11.94150218680932,8.597495795663924,VEH48,High,39.29,15,11:00:00,13:00:00,40.86,1.24,76.0,91.0,False,24.52,10.21,In Transit
ORD00083,2024-03-05,South,Kano,12.07467274174935,8.68180412473153,DEP1,11.861029392371615,8.7625350500646,VEH47,Low,24.86,15,07:00:00,09:00:00,27.31,1.12,45.9,60.9,False,16.39,6.83,Delivered
ORD00084,2024-02-19,South,Abuja,9.172506515057094,7.397123618798574,DEP4,9.008000644115002,7.45196034172669,VEH18,High,12.39,23,18:00:00,20:00:00,9.43,0.89,12.6,35.6,False,5.66,2.36,In Transit
ORD00085,2024-02-19,East,Lagos,6.4500091677915545,3.309580538702459,DEP2,6.3799308690597645,3.4355498979212857,VEH24,Low,9.5,14,06:00:00,08:00:00,35.88,1.43,77.0,91.0,False,21.53,8.97,Pending
ORD00086,2024-01-12,North,Kano,11.996992328052574,8.625411547704207,DEP5,11.871127948480652,8.468815607523469,VEH19,High,2.52,9,16:00:00,18:00:00,18.56,1.0,27.8,36.8,False,11.14,4.64,In Transit
ORD00087,2024-01-04,East,Lagos,6.459802096855349,3.2969405067514113,DEP4,6.37265434844024,3.36351150721309,VEH31,Medium,10.71,15,08:00:00,10:00:00,37.7,1.15,65.0,80.0,False,22.62,9.43,In Transit
ORD00088,2024-01-30,North,Port Harcourt,4.853678965725873,6.95766242796822,DEP4,4.935364159563617,7.100960155796363,VEH32,Low,4.55,23,16:00:00,18:00:00,87.61,1.44,189.2,212.2,False,52.57,21.9,Pending
ORD00089,2024-05-24,East,Abuja,8.988715591970973,7.353975529629441,DEP1,9.198980511917224,7.4979038761534635,VEH16,Low,9.63,22,18:00:00,20:00:00,22.52,1.06,35.8,57.8,False,13.51,5.63,Delivered
ORD00090,2024-02-27,West,Ibadan,7.374404597038205,3.970650954306059,DEP4,7.325065455827909,3.932013886453259,VEH29,Medium,37.5,23,12:00:00,14:00:00,5.59,0.98,8.2,31.2,False,3.35,1.4,Delivered
ORD00091,2024-06-05,North,Lagos,6.5670699171769105,3.4582413675374397,DEP2,6.529070976846266,3.3920453941061264,VEH41,Low,5.81,13,16:00:00,18:00:00,45.85,1.17,80.5,93.5,True,27.51,11.46,Pending
ORD00092,2024-05-21,North,Abuja,9.024994100726945,7.352448646189877,DEP2,9.027413665241848,7.206628479111091,VEH1,Medium,16.44,19,17:00:00,19:00:00,22.72,1.03,35.1,54.1,False,13.63,5.68,In Transit
ORD00093,2024-02-29,East,Lagos,6.44835242636385,3.457305456147979,DEP3,6.561836981421619,3.450840927657796,VEH45,Medium,39.56,7,16:00:00,18:00:00,50.85,0.86,65.6,72.6,False,30.51,12.71,In Transit
ORD00094,2024-06-18,South,Ibadan,7.38492130836371,3.964368223604176,DEP4,7.4756757896737325,3.919663818491872,VEH8,High,6.82,12,16:00:00,18:00:00,29.81,1.05,47.0,59.0,True,17.89,7.45,In Transit
ORD00095,2024-01-19,North,Abuja,9.10568344826632,7.412755660933782,DEP2,9.018938690359137,7.593206099517192,VEH20,High,30.49,28,15:00:00,17:00:00,25.25,0.87,33.0,61.0,False,15.15,6.31,In Transit
ORD00096,2024-04-29,East,Lagos,6.454971827836866,3.3283915456769018,DEP4,6.388672549303823,3.2538268096205223,VEH18,High,14.61,22,13:00:00,15:00:00,18.99,1.43,40.7,62.7,False,11.39,4.75,Delivered
ORD00097,2024-04-20,East,Lagos,6.440446749132328,3.384102277914051,DEP5,6.488558730795865,3.5721514467634425,VEH17,Low,6.05,7,09:00:00,11:00:00,40.99,1.48,91.0,98.0,False,24.59,10.25,Delivered
ORD00098,2024-01-06,East,Ibadan,7.450601425178797,4.010414414189856,DEP5,7.280661130817976,3.8153550349560263,VEH3,Low,33.6,20,14:00:00,16:00:00,93.08,1.19,166.1,186.1,False,55.85,23.27,In Transit
ORD00099,2024-05-29,West,Abuja,9.09082253789398,7.354595818732057,DEP4,9.184297173276773,7.27341749942301,VEH6,Medium,16.52,16,12:00:00,14:00:00,43.69,1.16,76.0,92.0,False,26.21,10.92,Delivered
ORD00100,2024-02-11,East,Lagos,6.472881946483016,3.3021673649478407,DEP4,6.568648016976653,3.2946522212961025,VEH45,Medium,29.27,14,16:00:00,18:00:00,17.13,1.14,29.3,43.3,False,10.28,4.28,Delivered
ORD00101,2024-04-26,North,Lagos,6.530917886510317,3.2895647073644856,DEP3,6.459041711277568,3.2329658707755895,VEH17,Medium,3.64,8,18:00:00,20:00:00,99.02,1.03,153.0,161.0,False,59.41,24.75,Delivered
ORD00102,2024-06-17,West,Lagos,6.586374889170927,3.330128130952753,DEP4,6.597001088889572,3.4832911439558747,VEH4,Low,29.98,21,11:00:00,13:00:00,48.21,1.09,78.8,99.8,False,28.93,12.05,In Transit
ORD00103,2024-07-13,North,Port Harcourt,4.785373653308599,7.135705828849566,DEP2,4.9478477631150914,7.235810764266605,VEH18,High,6.65,9,10:00:00,12:00:00,73.63,1.46,161.2,170.2,False,44.18,18.41,Delivered
ORD00104,2024-02-01,North,Port Harcourt,4.751846613233132,6.963099253473356,DEP5,4.912048259716023,7.079589245271965,VEH16,High,42.17,10,10:00:00,12:00:00,15.7,1.36,32.0,42.0,False,9.42,3.92,Delivered
ORD00105,2024-01-24,South,Port Harcourt,4.7559254640095485,6.982531188573141,DEP1,4.681306319172397,7.175629888092553,VEH30,Low,33.43,25,08:00:00,10:00:00,53.26,1.05,83.9,108.9,False,31.96,13.31,Delivered
ORD00106,2024-05-10,East,Kano,12.077640108162623,8.570389021484528,DEP4,12.12883977578863,8.567553963428088,VEH31,Medium,19.16,12,13:00:00,15:00:00,47.34,1.01,71.7,83.7,False,28.4,11.84,In Transit
ORD00107,2024-06-02,South,Abuja,9.12602187603525,7.399144078018496,DEP1,8.969385078058727,7.558429829309827,VEH18,Medium,19.5,15,18:00:00,20:00:00,55.27,1.43,118.6,133.6,False,33.16,13.82,Pending
ORD00108,2024-07-04,East,Kano,12.027047599182799,8.515279608141674,DEP5,12.17813284944539,8.642983221228567,VEH38,High,17.08,20,08:00:00,10:00:00,15.65,1.36,31.9,51.9,False,9.39,3.91,In Transit
ORD00109,2024-03-26,West,Kano,12.026214551185703,8.598592218395265,DEP4,12.159757033220384,8.707338884489813,VEH21,Low,8.01,27,09:00:00,11:00:00,32.55,0.97,47.4,74.4,False,19.53,8.14,Pending
ORD00110,2024-01-12,East,Port Harcourt,4.864389258514535,6.9565064869471565,DEP4,4.843555873948526,7.154783474296276,VEH46,Medium,43.9,17,16:00:00,18:00:00,35.52,1.37,73.0,90.0,False,21.31,8.88,Delivered
ORD00111,2024-05-06,North,Abuja,8.99862634739104,7.467890458346904,DEP2,8.927495464932793,7.357514916224147,VEH33,High,39.97,15,07:00:00,09:00:00,16.69,0.96,24.0,39.0,False,10.01,4.17,In Transit
ORD00112,2024-05-14,West,Lagos,6.568850513678613,3.423207307309215,DEP1,6.580859053154119,3.45677937778684,VEH47,Low,27.36,18,16:00:00,18:00:00,26.68,1.04,41.6,59.6,False,16.01,6.67,Pending
ORD00113,2024-07-19,East,Port Harcourt,4.751919543360285,7.131490112266726,DEP3,4.848956717906448,7.010140566705457,VEH40,High,23.37,17,16:00:00,18:00:00,94.83,0.91,129.4,146.4,True,56.9,23.71,In Transit
ORD00114,2024-04-07,East,Ibadan,7.3947459664033595,3.9481777357768935,DEP4,7.422081694173859,3.7542440735283362,VEH35,Low,43.67,24,07:00:00,09:00:00,93.35,1.2,168.0,192.0,False,56.01,23.34,Delivered
ORD00115,2024-02-28,North,Kano,12.041530164775379,8.67639987623546,DEP4,12.08509545372536,8.452915617165706,VEH7,High,29.03,27,07:00:00,09:00:00,61.46,1.1,101.4,128.4,False,36.88,15.37,Delivered
ORD00116,2024-01-08,North,Kano,12.049488847124945,8.678773402953803,DEP3,12.172427405162711,8.572235748561653,VEH4,Medium,6.11,16,11:00:00,13:00:00,98.51,1.39,205.4,221.4,False,59.11,24.63,Pending
ORD00117,2024-04-15,South,Ibadan,7.302432536240654,4.031168376523475,DEP2,7.525458544824851,3.9545352228504287,VEH12,Low,29.77,24,12:00:00,14:00:00,41.1,0.84,51.8,75.8,False,24.66,10.28,Pending
ORD00118,2024-05-29,South,Port Harcourt,4.78263944832918,7.110370689719603,DEP2,4.617452809201841,6.983199668676458,VEH30,High,20.21,13,13:00:00,15:00:00,54.66,1.44,118.1,131.1,False,32.8,13.66,Pending
ORD00119,2024-03-14,South,Port Harcourt,4.784869198873192,7.019190640379246,DEP1,4.910600499243899,7.030687176355923,VEH29,Medium,11.62,23,10:00:00,12:00:00,46.34,0.9,62.6,85.6,False,27.8,11.59,In Transit
